diameter,sigmaColor,sigmaSpace,average_cost,best_cost
15.945217979206864,97.40197593289427,93.53515911150735,-30.78435148694468,-32.27246203496811
16.482187156741144,98.11835094565788,93.56339856499868,-31.187882761834654,-32.27246203496811
16.682988128995923,98.5956188829233,93.57094921618211,-31.881258531314803,-32.27246203496811
16.64132768175381,98.75395864301943,93.55816046437879,-31.94642187986079,-32.27671960815651
16.234831261520096,98.81487238227304,88.3710973397344,-30.70146120735888,-32.277892724631954
15.547683797807203,98.40979473104021,85.68778656389794,-30.88936918724036,-32.277892724631954
14.807836797132715,98.26968832160921,84.03424973137582,-30.759027960910217,-32.28331626033018
14.545437473289745,98.45492890228059,66.33408552376926,-30.589545863740696,-32.28331626033018
14.5572593475861,98.66410442874772,48.13088338936074,-30.798179810776755,-32.28331626033018
15.347629920564154,99.03623344200028,28.918642281961915,-30.767353882902906,-32.28331626033018
